version,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage,
2.0.7,1226,1162,5.220228385,3131,2755,12.0089428298, 
2.0.13,1378,1306,5.2249637155,3453,3018,12.5977410947, 
2.1.6,1652,1569,5.0242130751,3679,3223,12.3946724653, 
2.2.2,1832,1740,5.0218340611,3944,3466,12.1196754564, 
2.3.6,1879,1775,5.5348589675,4107,3607,12.1743364987, 
2.4.4,2447,2326,4.9448304046,4974,4408,11.3791716928, 
2.4.10,2455,2333,4.9694501018,4991,4424,11.3604488079, 
2.5.4,2797,2661,4.8623525206,5992,5321,11.1982643525, 
2.5.10,2871,2724,5.1201671891,6227,5514,11.4501365023, 
2.6.4,1763,1639,7.0334656835,5054,4423,12.4851602691, 
