Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.StringSplitTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.Cache, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.CacheFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.filter.CacheFilter, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
com.alibaba.dubbo.cache.filter.CacheFilterTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.support.AbstractCacheFactory, 0.0, 0.0, NaN, 1.0, 0.0, 100.0, 
com.alibaba.dubbo.cache.support.AbstractCacheFactoryTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.support.jcache.JCache, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.cache.support.jcache.JCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.jcache.JCacheFactoryTest, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
com.alibaba.dubbo.cache.support.lru.LruCache, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.lru.LruCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.lru.LruCacheFactoryTest, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.threadlocal.ThreadLocalCache, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.threadlocal.ThreadLocalCacheFactory, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.cache.support.threadlocal.ThreadLocalCacheFactoryTest, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
com.alibaba.dubbo.common.Constants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Node, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Parameters, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.Resetable, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URL, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.URLTest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
