Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.ArgumentWordReader, 8.0, 8.0, 0.0, 14.0, 14.0, 0.0, 
proguard.AssumeNoSideEffectsChecker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassMemberChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.ClassPath, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassPathEntry, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassSpecification, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ClassSpecificationVisitorFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.Configuration, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationChecker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationConstants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationParser, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.ConfigurationWriter, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DataEntryReaderFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DataEntryWriterFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.DescriptorKeepChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.DuplicateClassPrinter, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.FileWordReader, 10.0, 10.0, 0.0, 14.0, 14.0, 0.0, 
proguard.FullyQualifiedClassNameChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.GPL, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.GetAnnotationChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.GetEnclosingClassChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.GetEnclosingMethodChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.GetSignatureChecker, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.Initializer, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.InputReader, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.KeepClassMemberChecker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.KeepClassSpecification, 9.0, 9.0, 0.0, 5.0, 4.0, 20.0, 
proguard.LibraryKeepChecker, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.LineWordReader, 8.0, 8.0, 0.0, 14.0, 14.0, 0.0, 
proguard.MemberSpecification, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
