versions,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
1.1.04,7363,7345,0.2444655711,1041,842,19.11623439
1.1.06,7385,7367,0.2437373053,1088,885,18.6580882353
1.1.07,8548,8527,0.2456715021,1272,1046,17.7672955975
1.1.09,9106,9085,0.2306171755,1503,1266,15.7684630739
1.1.12,9295,9274,0.2259279182,1577,1288,18.3259353202
1.1.14,9487,9466,0.2213555392,1592,1299,18.4045226131
1.1.16,9487,9466,0.2213555392,1592,1299,18.4045226131
1.1.18,9781,9760,0.2147019732,1620,1323,18.3333333333
1.1.20,10187,10165,0.2159615196,1648,1347,18.2645631068
1.2.1,10192,10170,0.215855573,1650,1346,18.4242424242
