versions,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
3.2,456,445,2.4122807018,2252,2081,7.593250444
3.5,466,455,2.3605150215,2683,2510,6.4480059635
3.8,471,459,2.5477707006,2786,2593,6.9274946159
4.2,510,493,3.3333333333,13344,13103,1.8060551559
4.5,835,816,2.2754491018,17003,16742,1.5350232312
4.8,852,833,2.2300469484,18585,18316,1.4474038203
4.11,937,918,2.0277481323,19759,19488,1.3715268991
5.2,974,955,1.9507186858,24219,23950,1.1106982121
5.3.3,974,955,1.9507186858,24462,24193,1.0996647862
6.0.2,1123,1104,1.6918967053,36137,35830,0.8495447879
